C,OPDP.WORLD,NETWORK_OUTAGE,AEMO,PUBLIC,2019/04/29,13:30:06,0000000307290523,NETWORK,0000000307290523
I,NETWORK,OUTAGEDETAIL,3,OUTAGEID,SUBSTATIONID,EQUIPMENTTYPE,EQUIPMENTID,STARTTIME,ENDTIME,SUBMITTEDDATE,OUTAGESTATUSCODE,RESUBMITREASON,RESUBMITOUTAGEID,RECALLTIMEDAY,RECALLTIMENIGHT,LASTCHANGED,REASON,ISSECONDARY,ACTUAL_STARTTIME,ACTUAL_ENDTIME,COMPANYREFCODE
D,NETWORK,OUTAGEDETAIL,3,798869,DAVENP,CB,CB6565,"2099/02/07 07:00:00","2099/02/07 16:30:00","2018/02/05 12:00:18",WDRAWN,"Information Update",799057,120,0,"2018/03/06 09:26:34","HV equipt commissioning",0,,,64290
D,NETWORK,OUTAGEDETAIL,3,798869,DAVENP,CB,CB6563,"2099/02/07 07:00:00","2099/02/07 16:30:00","2018/02/05 12:00:18",WDRAWN,"Information Update",799057,120,0,"2018/03/06 09:26:34","HV equipt commissioning",0,,,64290
D,NETWORK,OUTAGEDETAIL,3,799577,BANNABY,LINE,39,"2019/04/01 07:00:00","2019/04/19 17:00:00","2018/02/14 14:51:00",WDRAWN,,,240,360,"2018/08/16 15:13:30","HV equipt commissioning",0,,,TG_328223
D,NETWORK,OUTAGEDETAIL,3,799577,SYD_WEST,LINE,39,"2019/04/01 07:00:00","2019/04/19 17:00:00","2018/02/14 14:51:00",WDRAWN,,,240,360,"2018/08/16 15:13:30","HV equipt commissioning",0,,,TG_328223
D,NETWORK,OUTAGEDETAIL,3,799580,DAPTO,LINE,8,"2019/04/22 08:00:00","2019/06/29 19:00:00","2018/02/14 14:58:22",WDRAWN,"Information Update",802359,1440,1440,"2018/04/11 15:22:46","HV equipt commissioning",0,,,TG_360105
D,NETWORK,OUTAGEDETAIL,3,799580,MARULAN,LINE,8,"2019/04/22 08:00:00","2019/06/29 19:00:00","2018/02/14 14:58:22",WDRAWN,"Information Update",802359,1440,1440,"2018/04/11 15:22:46","HV equipt commissioning",0,,,TG_360105
D,NETWORK,OUTAGEDETAIL,3,801141,CANBERRA,LINE,6,"2019/05/13 08:00:00","2019/05/24 18:00:00","2018/03/16 08:01:36",WDRAWN,,,180,120,"2018/03/16 08:12:07","HV equipt commissioning",0,,,TG_327632
D,NETWORK,OUTAGEDETAIL,3,801141,CAPITAL,LINE,6,"2019/05/13 08:00:00","2019/05/24 18:00:00","2018/03/16 08:01:36",WDRAWN,,,180,120,"2018/03/16 08:12:07","HV equipt commissioning",0,,,TG_327632
D,NETWORK,OUTAGEDETAIL,3,801147,CANBERRA,LINE,9,"2019/04/29 06:00:00","2019/05/06 18:00:00","2018/03/16 08:14:12",WDRAWN,"Information Update",815287,240,240,"2018/12/11 09:56:23","HV equipt commissioning",0,,,TG_199164
D,NETWORK,OUTAGEDETAIL,3,801147,YASS,LINE,9,"2019/04/29 06:00:00","2019/05/06 18:00:00","2018/03/16 08:14:12",WDRAWN,"Information Update",815287,240,240,"2018/12/11 09:56:23","HV equipt commissioning",0,,,TG_199164
D,NETWORK,OUTAGEDETAIL,3,801165,PALMSTN,LINE,PO_PM2,"2020/03/16 09:24:08","2020/03/17 16:00:00","2018/03/16 10:04:29",WDRAWN,,,120,0,"2018/10/09 11:35:10","HV equipt maintenance",0,,,9000080-OUT1
D,NETWORK,OUTAGEDETAIL,3,801165,POATINA,LINE,PO_PM2,"2020/03/16 09:24:08","2020/03/17 16:00:00","2018/03/16 10:04:29",WDRAWN,,,120,0,"2018/10/09 11:35:10","HV equipt maintenance",0,,,9000080-OUT1
D,NETWORK,OUTAGEDETAIL,3,801450,HAYMARKT,LINE,42,"2019/10/05 08:00:00","2019/10/06 16:00:00","2018/03/23 08:36:47",SUBMIT,,,120,120,"2018/03/23 08:36:47","HV equipt maintenance",0,,,TG_365628
D,NETWORK,OUTAGEDETAIL,3,801450,SYD_STH,LINE,42,"2019/10/05 08:00:00","2019/10/06 16:00:00","2018/03/23 08:36:47",SUBMIT,,,120,120,"2018/03/23 08:36:47","HV equipt maintenance",0,,,TG_365628
D,NETWORK,OUTAGEDETAIL,3,801451,BFIELD_W,LINE,41,"2019/09/28 08:00:00","2019/09/29 17:00:00","2018/03/23 08:37:51",WDRAWN,"Information Update",822122,120,120,"2019/04/11 09:31:54","HV equipt maintenance",0,,,TG_365627
D,NETWORK,OUTAGEDETAIL,3,801451,SYD_STH,LINE,41,"2019/09/28 08:00:00","2019/09/29 17:00:00","2018/03/23 08:37:51",WDRAWN,"Information Update",822122,120,120,"2019/04/11 09:31:54","HV equipt maintenance",0,,,TG_365627
D,NETWORK,OUTAGEDETAIL,3,801459,CANBERRA,LINE,6,"2019/05/13 08:00:00","2019/05/24 18:00:00","2018/03/23 09:59:37",WDRAWN,,,180,120,"2018/03/23 09:59:39","HV equipt commissioning",0,,,TG_327632
D,NETWORK,OUTAGEDETAIL,3,801459,CAPITAL,LINE,6,"2019/05/13 08:00:00","2019/05/24 18:00:00","2018/03/23 09:59:37",WDRAWN,,,180,120,"2018/03/23 09:59:39","HV equipt commissioning",0,,,TG_327632
