C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,06:40:35,0000000307942072,P5MIN,0000000307942069
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 06:45:00","2019/05/16 06:45:00",0,950575704.7040,0,0,0,227.813,0,14.64,,,,,0,0,0,0,"2019/05/16 06:40:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 06:55:00",NSW1,115.1357,115.1357,0,19.81,19.81,13.81,13.81,12,12,36.60404,36.60404,0.03,0.03,0.11,0.11,0.2,0.2,14.73,14.73,8596.56,10775.247,0,22.81213,7647.96,0,-948.6,,,50,,,,,40,,,,,30,,,,,223,,,,,75,,,,,60,,,0,8578.85,8601.53,,0,52,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",3.0121,8604.5421,569.247,425.20701,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 07:00:00",NSW1,113.55047,113.55047,0,2,2,4,4,1,1,24,24,0.01,0.01,0.07,0.07,0.2,0.2,12.7,12.7,8638.88,10770.86,0,42.32393,7657.65,0,-981.23,,,50,,,,,29.58,,,,,1.42,,,,,176.29,,,,,53,,,,,30,,,0,8601.53,8646.55,,0,32,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",3.0121,8649.5621,564.86,419.90001,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 07:05:00",NSW1,99.0079,99.0079,0,1.5,1.5,4,4,1,1,23.73,23.73,0,0,0.08,0.08,0.2,0.2,10.19323,10.19323,8658.73,11099.13,0,19.84614,7918.24,0,-740.49,,,51,,,,,41,,,,,0,,,,,186.02,,,,,53,,,,,29,,,0,8646.55,8661.46,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",3.0121,8664.4721,561.13,415.49301,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 07:10:00",NSW1,104.26025,104.26025,0,1.5,1.5,4,4,1,1,23.73,23.73,0,0,0.07,0.07,0.19,0.19,9,9,8726.11,11096.89,0,67.38344,7930.63,0,-795.49,,,51,,,,,25.46,,,,,0,,,,,174.97,,,,,53,,,,,29,,,0,8661.46,8732.34,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",3.0121,8735.3521,558.89,412.87701,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 07:15:00",NSW1,115.17685,115.17685,0,2,2,4,4,1,1,24.943,24.943,0,0,0.04,0.04,0.19,0.19,9,9,8796.02,11094.712,0,69.9104,7940.45,0,-855.57,,,51,,,,,13.64,,,,,1,,,,,174.1,,,,,53,,,,,35.91,,,0,8732.34,8802.18,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",3.0121,8805.1921,556.712,410.45301,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 07:20:00",NSW1,115.25375,115.25375,0,2,2,4,4,1,1,24.97543,24.97543,0,0,0.05,0.05,0.19,0.19,9,9,8822.99,11092.589,0,26.96591,7938.2,0,-884.79,,,51,,,,,21,,,,,1,,,,,177.77,,,,,53,,,,,40,,,0,8802.18,8830.37,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",3.0121,8833.3821,554.589,408.19501,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 07:25:00",NSW1,116.73064,116.73064,0,2,2,4,4,1,1,26.33851,26.33851,0,0,0.05,0.05,0.19,0.19,9,9,8846.42,11090.511,0,23.43052,7936.08,0,-910.34,,,51,,,,,21,,,,,1,,,,,181.35,,,,,53,,,,,35,,,0,8830.37,8854.05,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",3.0121,8857.0621,552.511,406.07701,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 07:30:00",NSW1,130.68807,130.68807,0,2,2,4.81,4.81,1,1,34,34,0,0,0.05,0.05,0.19,0.19,9,9,8853.07,11088.471,0,6.65092,7934.08,0,-918.99,,,51,,,,,21,,,,,1,,,,,189,,,,,53,,,,,40,,,0,8854.05,8862.06,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",3.0121,8865.0721,550.471,404.08001,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 07:35:00",NSW1,235.04284,235.04284,0,5,5,5,5,1.49,1.49,100,100,0,0,0.05,0.05,0.19,0.19,14.73,14.73,8901.7,11088.393,0,48.63265,7989.16,0,-912.54,,,51,,,,,21,,,,,1,,,,,189,,,,,64.21,,,,,46.45,,,0,8862.06,8919.8,,0,79,,,,0,30.03,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",3.0121,8922.8121,550.393,459.16301,55.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 07:40:00",NSW1,207.16196,207.16196,0,5,5,5,5,1.49,1.49,90,90,0,0,0.05,0.05,0.19,0.19,14,14,8937.69,11090.531,0,35.98545,7991.58,0,-946.11,,,51,,,,,21,,,,,1,,,,,189,,,,,63.3,,,,,45.53,,,0,8919.8,8967.3,,0,66.83,,,,0,22,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",3.0121,8970.3121,552.531,461.57901,280.26801
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 06:45:00",QLD1,108.37007,108.37007,0,19.81,19.81,13.81,13.81,2,2,38.37,38.37,0.03,0.03,0.05,0.05,0.2,0.2,14,14,6393.06,10013.564,0,26.82373,6975.5,0,582.44,,,0,,,,,0,,,,,0,,,,,85,,,,,120.14,,,,,121.14,,,31.39453,6339.29102,6398.92,,0,25,,,,0,64.18,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",109.72375,6508.643750,107.564,107.564,0
