C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,06:45:37,0000000307942207,P5MIN,0000000307942204
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 06:50:00","2019/05/16 06:50:00",0,3031054626.0740,0,0,0,169.804,0,212,,,,,0,0,0,0,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",LK_ECHO,"2019/05/16 07:45:00",9.37,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",MEADOWBK,"2019/05/16 06:55:00",-0.04,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",MEADOWBK,"2019/05/16 07:00:00",-0.04,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",MEADOWBK,"2019/05/16 07:05:00",2.31,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",MEADOWBK,"2019/05/16 07:10:00",0.18,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",MEADOWBK,"2019/05/16 07:15:00",-0.02,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",MEADOWBK,"2019/05/16 07:20:00",-0.02,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",MEADOWBK,"2019/05/16 07:35:00",9.37,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",MEADOWBK,"2019/05/16 07:40:00",9.37,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",MEADOWBK,"2019/05/16 07:45:00",9.37,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",SAPHWF1,"2019/05/16 07:45:00",-6.71,1,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TARRALEA,"2019/05/16 06:55:00",-0.04,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TARRALEA,"2019/05/16 07:00:00",-0.04,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TARRALEA,"2019/05/16 07:05:00",2.31,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TARRALEA,"2019/05/16 07:10:00",0.18,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TARRALEA,"2019/05/16 07:15:00",-0.02,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TARRALEA,"2019/05/16 07:20:00",-0.02,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TARRALEA,"2019/05/16 07:35:00",9.37,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TARRALEA,"2019/05/16 07:40:00",9.37,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TARRALEA,"2019/05/16 07:45:00",9.37,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TUNGATIN,"2019/05/16 06:55:00",-0.04,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TUNGATIN,"2019/05/16 07:00:00",-0.04,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TUNGATIN,"2019/05/16 07:05:00",2.31,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TUNGATIN,"2019/05/16 07:10:00",0.18,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TUNGATIN,"2019/05/16 07:15:00",-0.02,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TUNGATIN,"2019/05/16 07:20:00",-0.02,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TUNGATIN,"2019/05/16 07:35:00",9.37,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TUNGATIN,"2019/05/16 07:40:00",9.37,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",TUNGATIN,"2019/05/16 07:45:00",9.37,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRSF1,"2019/05/16 06:50:00",-209.47,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRSF1,"2019/05/16 06:55:00",-150.66,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRSF1,"2019/05/16 07:00:00",-160.58,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRSF1,"2019/05/16 07:05:00",-99.53,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRSF1,"2019/05/16 07:10:00",-110.63,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRSF1,"2019/05/16 07:15:00",-117.88,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRSF1,"2019/05/16 07:20:00",-131.68,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRSF1,"2019/05/16 07:25:00",-150.68,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRSF1,"2019/05/16 07:30:00",-149.74,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRSF1,"2019/05/16 07:35:00",-286.06,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRSF1,"2019/05/16 07:40:00",-282.3,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRSF1,"2019/05/16 07:45:00",-280.58,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRWF1,"2019/05/16 06:50:00",-209.47,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRWF1,"2019/05/16 06:55:00",-150.66,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRWF1,"2019/05/16 07:00:00",-160.58,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRWF1,"2019/05/16 07:05:00",-99.53,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRWF1,"2019/05/16 07:10:00",-110.63,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRWF1,"2019/05/16 07:15:00",-117.88,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRWF1,"2019/05/16 07:20:00",-131.68,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRWF1,"2019/05/16 07:25:00",-150.68,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRWF1,"2019/05/16 07:30:00",-149.74,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRWF1,"2019/05/16 07:35:00",-286.06,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRWF1,"2019/05/16 07:40:00",-282.3,2,"2019/05/16 06:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:50:00",WRWF1,"2019/05/16 07:45:00",-280.58,2,"2019/05/16 06:45:26"
I,P5MIN,REGIONSOLUTION,5,RUN_DATETIME,INTERVENTION,INTERVAL_DATETIME,REGIONID,RRP,ROP,EXCESSGENERATION,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALREQ,LOWER5MINREQ,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALREQ,LOWER60SECREQ,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALREQ,LOWER6SECREQ,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALREQ,RAISE5MINREQ,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALREQ,RAISE60SECREQ,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALREQ,RAISE6SECREQ,AGGREGATEDISPATCHERROR,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGDISPATCH,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGDISPATCH,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,LASTCHANGED,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 06:50:00",NSW1,209.46534,209.46534,0,46.5,46.5,52,52,5,5,110.45,110.45,0.03,0.03,0.17,0.17,0.44,0.44,14.73,14.73,8603.84,10775.246,0,77.69629,7631.7,0,-972.13,,,60,,,,,45,,,,,0,,,,,222.27,,,,,115.1,,,,,94.23,,,-17.56159,8551.38379,8612.45,,0,31,,,,0,37,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",2.6821,8615.1321,569.246,424.70245,2.40845
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 06:55:00",NSW1,150.65592,150.65592,0,2,2,4.02737,4.02737,1,1,43.81,43.81,0,0,0.05,0.05,0.19,0.19,12.5,12.5,8627,10772.575,0,23.1607,7640.14,0,-986.86,,,50,,,,,20,,,,,0,,,,,178.8,,,,,53,,,,,40,,,-17.56159,8612.45,8634.7,,0,32,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",2.6821,8637.3821,566.575,418.04001,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:00:00",NSW1,160.57973,160.57973,0,2,2,4.81,4.81,1,1,43.81,43.81,0,0,0.05,0.05,0.19,0.19,12.5,12.5,8669.97,10768.489,0,42.97064,7649.68,0,-1020.29,,,50,,,,,20,,,,,0,,,,,174.08,,,,,53,,,,,40,,,-17.56159,8634.7,8676.78,,0,32,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",2.6821,8679.4621,562.489,412.58101,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:05:00",NSW1,99.53295,99.53295,0,1.5,1.5,4,4,1,1,23.73,23.73,0.01,0.01,0.07,0.07,0.19,0.19,9,9,8690.12,11096.71,0,20.14939,7909.81,0,-780.31,,,51,,,,,30.44,,,,,2.58,,,,,177.81,,,,,53,,,,,29,,,-17.56159,8676.78,8690.55,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",2.6821,8693.2321,558.71,407.70801,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:10:00",NSW1,110.62546,110.62546,0,1.5,1.5,4,4,1,1,23.73,23.73,0,0,0.07,0.07,0.19,0.19,9,9,8758.53,11094.182,0,68.41306,7921.52,0,-837.01,,,51,,,,,24.67,,,,,0,,,,,176.74,,,,,53,,,,,29,,,-17.56159,8690.55,8759.98,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",2.6821,8762.6621,556.182,404.41901,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:15:00",NSW1,117.88276,117.88276,0,2,2,4,4,1,1,29.15,29.15,0,0,0.04,0.04,0.19,0.19,9,9,8829.51,11091.749,0,70.97863,7931.41,0,-898.1,,,51,,,,,17.68,,,,,1,,,,,183.87,,,,,53,,,,,40,,,-17.56159,8759.98,8830.86,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",2.6821,8833.5421,553.749,401.40601,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:20:00",NSW1,131.67497,131.67497,0,2,2,4.65304,4.65304,1,1,34,34,0,0,0.05,0.05,0.19,0.19,9,9,8856.89,11089.402,0,27.37795,7928.63,0,-928.26,,,51,,,,,21,,,,,1,,,,,184.63,,,,,53,,,,,40,,,-17.56159,8830.86,8860.28,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",2.6821,8862.9621,551.402,398.63001,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:25:00",NSW1,150.67953,150.67953,0,2.04619,2.04619,5,5,1,1,44.31118,44.31118,0,0,0.05,0.05,0.19,0.19,9,9,8880.68,11087.126,0,23.78854,7926.05,0,-954.62,,,51,,,,,21,,,,,1,,,,,189,,,,,69.64,,,,,40,,,-17.56159,8860.28,8886.29,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",2.6821,8888.9721,549.126,396.05401,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:30:00",NSW1,149.73689,149.73689,0,2.04619,2.04619,5,5,1,1,45.08472,45.08472,0,0,0.05,0.05,0.19,0.19,9,9,8887.43,11084.907,0,6.75254,7923.65,0,-963.78,,,51,,,,,21,,,,,1,,,,,184.83,,,,,68.82,,,,,40,,,-17.56159,8886.29,8896.24,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",2.6821,8898.9221,546.907,393.64701,0.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:35:00",NSW1,286.06135,286.06135,0,5,5,5,5,1,1,143.80075,143.80075,0,0,0.05,0.05,0.19,0.19,14.73,14.73,8936.8,11084.571,0,49.37576,7978.26,0,-958.54,,,51,,,,,21,,,,,1,,,,,188.37,,,,,68.36,,,,,44.83,,,-17.56159,8896.24,8952.9,,0,79,,,,0,42,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",2.6821,8955.5821,546.571,448.26401,55.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:40:00",NSW1,282.29816,282.29816,0,5,5,5,5,1,1,144.85126,144.85126,0,0,0.05,0.05,0.19,0.19,14.73,14.73,8973.34,11086.398,0,36.53531,7980.18,0,-993.16,,,51,,,,,21,,,,,1,,,,,188.08,,,,,67.43,,,,,44.57,,,-17.56159,8952.9,8998.39,,0,79,,,,0,42,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",2.6821,9001.0721,548.398,450.17801,55.00101
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:45:00",NSW1,280.58095,280.58095,0,5,5,5,5,1,1,135.99484,135.99484,0,0,0.05,0.05,0.19,0.19,14.73,14.73,8964.71,11088.606,0,-8.63377,7982.56,0,-982.15,,,51,,,,,21,,,,,0,,,,,187.99,,,,,67.11,,,,,44.25,,,-17.56159,8998.39,8993.9,,0,79,,,,0,42,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",2.6821,8996.5821,550.606,452.55601,264.85001
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 06:50:00",QLD1,191.45003,191.45003,0,46.5,46.5,52,52,5,5,110.45,110.45,0.03,0.03,0.17,0.17,0.44,0.44,14.73,14.73,6452.47,9916.688,0,36.22021,7079.32,0,626.84,,,0,,,,,0,,,,,0,,,,,85,,,,,79.81,,,,,74.81,,,38.46256,6384.25098,6459.38,,0,71,,,,0,41.41,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",110.12375,6569.503750,110.688,110.688,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 06:55:00",QLD1,137.73481,137.73481,0,2,2,4.02737,4.02737,1,1,43.81,43.81,0,0,0.05,0.05,0.19,0.19,12.5,12.5,6484.73,9919.354,0,32.25341,7104.56,0,619.84,,,0,,,,,0,,,,,0,,,,,84,,,,,23,,,,,15,,,38.46256,6459.38,6491.4,,0,25,,,,0,82,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",110.12375,6601.523750,113.354,113.354,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:00:00",QLD1,147.80998,147.80998,0,2,2,4.81,4.81,1,1,43.81,43.81,0,0,0.05,0.05,0.19,0.19,12.5,12.5,6516.69,9921.744,0,31.96597,7117.74,0,601.05,,,0,,,,,0,,,,,0,,,,,84,,,,,23,,,,,15,,,38.46256,6491.4,6522.86,,0,25,,,,0,81.21,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",110.12375,6632.983750,115.744,115.744,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:05:00",QLD1,93.72995,93.72995,0,1.5,1.5,4,4,1,1,23.73,23.73,0.01,0.01,0.07,0.07,0.19,0.19,9,9,6565.9,9923.737,0,49.20226,7019.74,0,453.85,,,0,,,,,0,,,,,0,,,,,84,,,,,48,,,,,39,,,38.46256,6522.86,6568.74,,0,25,,,,0,69.41,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",110.12375,6678.863750,119.737,119.737,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:10:00",QLD1,103.22789,103.22789,0,1.5,1.5,4,4,1,1,23.73,23.73,0,0,0.07,0.07,0.19,0.19,9,9,6624.04,9930.021,0,58.13998,7125.82,0,501.78,,,0,,,,,0,,,,,0,,,,,84,,,,,38,,,,,29,,,38.46256,6568.74,6627.82,,0,25,,,,0,69.41,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",110.12375,6737.943750,126.021,126.021,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:15:00",QLD1,110.26229,110.26229,0,2,2,4,4,1,1,29.15,29.15,0,0,0.04,0.04,0.19,0.19,9,9,6650.81,9937.294,0,26.7742,7143.09,0,492.28,,,0,,,,,0,,,,,0,,,,,84,,,,,24.59,,,,,16.59,,,38.46256,6627.82,6654.41,,0,25,,,,0,69.41,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",110.12375,6764.533750,133.294,133.294,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:20:00",QLD1,122.3,122.3,0,2,2,4.65304,4.65304,1,1,34,34,0,0,0.05,0.05,0.19,0.19,9,9,6640.14,9945.396,0,-10.67075,7171.63,0,531.49,,,0,,,,,0,,,,,0,,,,,84,,,,,23,,,,,15,,,38.46256,6654.41,6644.63,,0,25,,,,0,79.41,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",110.12375,6754.753750,141.396,141.396,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:50:00",0,"2019/05/16 07:25:00",QLD1,138.66314,138.66314,0,2.04619,2.04619,5,5,1,1,44.31118,44.31118,0,0,0.05,0.05,0.19,0.19,9,9,6640.44,9954.209,0,0.29711,7220.45,0,580.01,,,0,,,,,0,,,,,0,,,,,84,,,,,23,,,,,15,,,38.46256,6644.63,6646.1,,0,25,,,,0,82,,,,,,,,,,,,,,,,,,,"2019/05/16 06:45:26",110.12375,6756.223750,150.209,150.209,0
