C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,16:10:35,0000000307959487,P5MIN,0000000307959484
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 16:15:00","2019/05/16 16:15:00",0,-262724812.3660,0,0,0,35.304,0,0,,,,,0,0,0,0,"2019/05/16 16:10:24"
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:55:00",NSW1,100.05472,100.05472,0,1,1,0.73,0.73,0.49,0.49,45.73,45.73,0,0,0.04,0.04,0.2,0.2,14,14,8755.12,11032.55009,0,37.49987,7585.55,0,-1169.57,,,50,,,,,10,,,,,0,,,,,144.85,,,,,21.06,,,,,17,,,4.54811,8744.87,8778.24,,0,66,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",17.65666,8795.896660,254.55009,254.55009,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 17:00:00",NSW1,100.82025,100.82025,0,0.99,0.99,0.73,0.73,0.49,0.49,45.73,45.73,0,0,0.04,0.04,0.2,0.2,14,14,8799.53,11021.98009,0,44.41299,7574.98,0,-1224.55,,,50,,,,,10,,,,,0,,,,,144.34,,,,,19.47,,,,,16.14,,,4.54811,8778.24,8822.72,,0,63.89,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",17.65666,8840.376660,243.98009,243.98009,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 17:05:00",NSW1,97.54888,97.54888,0,0.99,0.99,0.73,0.73,0.3,0.3,45.73,45.73,0,0,0.04,0.04,0.19,0.19,12.69,12.69,8856.75,11212.32409,0,57.21489,7846.32,0,-1010.42,,,50,,,,,10,,,,,0,,,,,144,,,,,22.96,,,,,14.63,,,4.54811,8822.72,8886.91,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",17.65666,8904.566660,235.32409,235.32409,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 17:10:00",NSW1,98.75702,98.75702,0,0.73,0.73,0.73,0.73,0.3,0.3,45.73,45.73,0,0,0.04,0.04,0.19,0.19,12.69,12.69,8910.47,11205.87409,0,53.71861,7869.87,0,-1040.59,,,50,,,,,10,,,,,0,,,,,144,,,,,18.22,,,,,12.89,,,4.54811,8886.91,8933.44,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",17.65666,8951.096660,228.87409,228.87409,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:15:00",QLD1,89.84077,89.84077,0,5.89,5.89,5,5,0.7,0.7,45.73,45.73,0,0,0.04,0.04,0.19,0.19,12.5,12.5,6735.25,10321.63377,0,24.87891,7372.6,0,637.35,,,0,,,,,0,,,,,0,,,,,22,,,,,47.2,,,,,77.16,,,26.89109,6689.92383,6742.32,,0,39.08,,,,0,92,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",102.82501,6845.145010,238.63377,238.28477,10
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:20:00",QLD1,89.71085,89.71085,0,9.49,9.49,5,5,0.73,0.73,34.73,34.73,0,0,0.03,0.03,0.19,0.19,8.73,8.73,6761.98,10313.93177,0,26.72778,7443.92,0,681.95,,,0,,,,,0,,,,,0,,,,,44.09,,,,,43,,,,,86.37,,,26.89109,6742.32,6770.27,,0,46.03,,,,0,82,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",102.82501,6873.095010,230.93177,230.35177,10
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:25:00",QLD1,91.26284,91.26284,0,9.49,9.49,5,5,0.73,0.73,34.73,34.73,0,0,0.03,0.03,0.19,0.19,8.73,8.73,6824.73,10306.22777,0,62.75346,7501.05,0,676.32,,,0,,,,,0,,,,,0,,,,,41.44,,,,,43,,,,,92.14,,,26.89109,6770.27,6832.84,,0,38,,,,0,82,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",102.82501,6935.665010,223.22777,222.47877,10
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:30:00",QLD1,89.1201,89.1201,0,9.49,9.49,5,5,0.73,0.73,34.73,34.73,0.03,0.03,0.08,0.08,0.2,0.2,14,14,6848.21,10299.77177,0,23.47748,7547,0,698.8,,,0,,,,,0,,,,,0,,,,,40.98,,,,,43,,,,,90.59,,,26.89109,6832.84,6857.06,,0,50,,,,0,82,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",102.82501,6959.885010,216.77177,215.90477,10
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:35:00",QLD1,86.30826,86.30826,0,9.46836,9.46836,5,5,0.73,0.73,45.73,45.73,0.01,0.01,0.08,0.08,0.2,0.2,14.73,14.73,6872.6,10297.77177,0,24.39475,7687.1,0,814.5,,,0,,,,,0,,,,,0,,,,,40.66,,,,,43,,,,,89.53,,,26.89109,6857.06,6885.38,,0,68,,,,0,106,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",102.82501,6988.205010,209.77177,209.01877,10
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:40:00",QLD1,86.22273,86.22273,0,9.38283,9.38283,5,5,0.73,0.73,45.73,45.73,0.01,0.01,0.08,0.08,0.2,0.2,14.73,14.73,6908.62,10289.99277,0,36.0159,7775.07,0,866.45,,,0,,,,,0,,,,,0,,,,,39.96,,,,,43,,,,,87.2,,,26.89109,6885.38,6923.34,,0,68,,,,0,106,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",102.82501,7026.165010,201.99277,201.65577,10
