C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,06:10:36,0000000307941288,P5MIN,0000000307941285
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 06:15:00","2019/05/16 06:15:00",0,553646671.2690,0,0,0,160.533,0,0,,,,,0,0,0,0,"2019/05/16 06:10:25"
I,P5MIN,REGIONSOLUTION,5,RUN_DATETIME,INTERVENTION,INTERVAL_DATETIME,REGIONID,RRP,ROP,EXCESSGENERATION,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALREQ,LOWER5MINREQ,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALREQ,LOWER60SECREQ,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALREQ,LOWER6SECREQ,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALREQ,RAISE5MINREQ,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALREQ,RAISE60SECREQ,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALREQ,RAISE6SECREQ,AGGREGATEDISPATCHERROR,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGDISPATCH,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGDISPATCH,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,LASTCHANGED,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:15:00",NSW1,93.84991,93.84991,0,5.89,5.89,5,5,0.99,0.99,41.35759,41.35759,0,0,0.05,0.05,0.19,0.19,14,14,8090.34,10759.861,0,126.09424,7803.75,0,-286.59,,,45,,,,,10,,,,,0,,,,,165.16,,,,,75.11,,,,,60.11,,,31.51981,7948.47949,8102.75,,0,28,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",4.49987,8107.249870,633.861,633.861,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:20:00",NSW1,94.31056,94.31056,0,5.89,5.89,5,5,0.99,0.99,28.07285,28.07285,0,0,0.05,0.05,0.19,0.19,12.5,12.5,8198.29,10764.458,0,107.95484,7808.46,0,-389.84,,,50,,,,,20,,,,,0,,,,,162.72,,,,,55.24,,,,,60,,,31.51981,8102.75,8214.65,,0,32,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",4.49987,8219.149870,638.458,638.458,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:25:00",NSW1,95.56618,95.56618,0,5,5,5,5,0.99,0.99,33.15,33.15,0,0,0.05,0.05,0.19,0.19,12.5,12.5,8283.81,10768.403,0,85.51925,7812.4,0,-471.41,,,50,,,,,20,,,,,0,,,,,161.71,,,,,62.47,,,,,52.47,,,31.51981,8214.65,8294.33,,0,32,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",4.49987,8298.829870,642.403,642.403,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:30:00",NSW1,104.72477,104.72477,0,9.81,9.81,5,5,0.99,0.99,38.95487,38.95487,0,0,0.05,0.05,0.19,0.19,12.5,12.5,8348.77,10771.824,0,64.96162,7774.23,0,-574.55,,,50,,,,,20,,,,,0,,,,,160.87,,,,,62.78,,,,,60,,,31.51981,8294.33,8355.14,,0,32,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",4.49987,8359.639870,645.824,604.22625,132.61225
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:35:00",NSW1,101.6921,101.6921,0,9.49,9.49,5.89,5.89,1,1,34,34,0.01,0.01,0.04,0.04,0.19,0.19,12.5,12.5,8459.37,10852.707,0,110.59304,7721.48,0,-737.89,,,51,,,,,21,,,,,6.33,,,,,176.66,,,,,75,,,,,60,,,31.51981,8355.14,8468.36,,0,32,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",4.49987,8472.859870,646.707,551.48112,80.72312
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:40:00",NSW1,123.37624,123.37624,0,20.7,20.7,5.89,5.89,1,1,41.63541,41.63541,0.01,0.01,0.04,0.04,0.19,0.19,12.5,12.5,8558.14,10850.285,0,98.76881,7699.18,0,-858.96,,,51,,,,,16,,,,,2.67,,,,,169.87,,,,,75,,,,,60,,,31.51981,8468.36,8573.29,,0,32,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",4.49987,8577.789870,644.285,514.17556,47.27856
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:45:00",NSW1,115.7967,115.7967,0,20.7,20.7,9.49,9.49,2,2,34.94,34.94,0.03,0.03,0.11,0.11,0.2,0.2,14.73,14.73,8668.88,10846.587,0,110.74571,7681.9,0,-986.99,,,51,,,,,41,,,,,31,,,,,206.32,,,,,75,,,,,60,,,31.51981,8573.29,8682.59,,0,52,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",4.49987,8687.089870,640.587,481.89619,19.98219
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:50:00",NSW1,118.2941,118.2941,0,1.45,1.45,3,3,0.99,0.99,36.31236,36.31236,0,0,0.04,0.04,0.19,0.19,12.5,12.5,8743.58,10841.799,0,74.69447,7674.3,0,-1069.27,,,51,,,,,14.32,,,,,0,,,,,158.49,,,,,53,,,,,29,,,31.51981,8682.59,8761.35,,0,32,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",4.49987,8765.849870,635.799,459.3042,3.3312
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:15:00",0,"2019/05/16 06:55:00",NSW1,150.32318,150.32318,0,2,2,8.73157,8.73157,1,1,48,48,0,0,0.05,0.05,0.19,0.19,12.5,12.5,8765.25,10835.002,0,21.67239,7678.14,0,-1087.11,,,51,,,,,21,,,,,1,,,,,169.66,,,,,75,,,,,40,,,31.51981,8761.35,8784.53,,0,32,,,,0,19.97,,,,,,,,,,,,,,,,,,,"2019/05/16 06:10:25",4.49987,8789.029870,629.002,448.13701,0.00101
