C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,15:30:36,0000000307958307,P5MIN,0000000307958304
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 15:35:00","2019/05/16 15:35:00",0,-183173353.96,0,0,0,0,0,10.375,,,,,0,0,0,0,"2019/05/16 15:30:26"
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:35:00",0,"2019/05/16 15:40:00",NSW1,87.66426,87.66426,0,5.26861,5.26861,2.78,2.78,0.99,0.99,23.73,23.73,0,0,0.05,0.05,0.19,0.19,8.5,8.5,8114.34,10700.75746,0,36.04868,7492.95,0,-621.39,,,50,,,,,20,,,,,0,,,,,163.96,,,,,65,,,,,58,,,28.26718,8078.84,8115.87,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 15:30:26",29.52865,8145.398650,391.75746,391.75746,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:35:00",0,"2019/05/16 15:45:00",NSW1,87.67113,87.67113,0,5.89,5.89,2.44589,2.44589,0.99,0.99,23.73,23.73,0,0,0.05,0.05,0.19,0.19,8.5,8.5,8135.59,10698.41846,0,21.24649,7530.61,0,-604.98,,,50,,,,,20,,,,,0,,,,,170.82,,,,,65,,,,,58,,,28.26718,8115.87,8137.49,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 15:30:26",29.52865,8167.018650,389.41846,389.41846,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:35:00",0,"2019/05/16 15:50:00",NSW1,88.39648,88.39648,0,5.89,5.89,3,3,1,1,23.73,23.73,0,0,0.04,0.04,0.19,0.19,8.5,8.5,8174.15,10695.82546,0,38.56077,7547.25,0,-626.9,,,50,,,,,20,,,,,0,,,,,183.03,,,,,65,,,,,58,,,28.26718,8137.49,8177.77,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 15:30:26",29.52865,8207.298650,386.82546,386.82546,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:35:00",0,"2019/05/16 15:55:00",NSW1,98.77893,98.77893,0,5.89,5.89,3,3,1,1,23.73,23.73,0,0,0.04,0.04,0.19,0.19,4.99,4.99,8214.4,10692.80046,0,40.25061,7553.8,0,-660.6,,,50,,,,,17.38,,,,,0,,,,,191.69,,,,,65,,,,,58,,,28.26718,8177.77,8216.39,,0,54.84,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 15:30:26",29.52865,8245.918650,383.80046,383.80046,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:35:00",0,"2019/05/16 16:00:00",NSW1,99.33774,99.33774,0,5.89,5.89,2,2,1,1,23.73,23.73,0,0,0.04,0.04,0.19,0.19,6,6,8233.12,10689.02046,0,18.71646,7550.02,0,-683.1,,,50,,,,,20,,,,,0,,,,,184.04,,,,,62.42,,,,,58,,,28.26718,8216.39,8235.34,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 15:30:26",29.52865,8264.868650,380.02046,380.02046,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:35:00",0,"2019/05/16 16:05:00",NSW1,88.4477,88.4477,0,5.89,5.89,4.81,4.81,0.99,0.99,20.44241,20.44241,0.01,0.01,0.04,0.04,0.19,0.19,10.71923,10.71923,8287.39,11336.17646,0,54.27744,7600.18,0,-687.22,,,50,,,,,20,,,,,8.23,,,,,163.3,,,,,65,,,,,58,,,28.26718,8235.34,8291.97,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 15:30:26",29.52865,8321.498650,375.17646,375.17646,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:35:00",0,"2019/05/16 16:10:00",NSW1,87.30381,87.30381,0,5.89,5.89,3,3,0.92495,0.92495,20,20,0.01,0.01,0.04,0.04,0.19,0.19,9.29,9.29,8291.47,11330.25746,0,4.07314,7649.26,0,-642.21,,,50,,,,,10,,,,,6.7,,,,,162,,,,,65,,,,,58,,,28.26718,8291.97,8295.45,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 15:30:26",29.52865,8324.978650,369.25746,369.25746,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:35:00",0,"2019/05/16 16:15:00",NSW1,81.84693,81.84693,0,5,5,2.78,2.78,0.99,0.99,18.99,18.99,0.01,0.01,0.04,0.04,0.19,0.19,12.5,12.5,8299.47,11323.74646,0,8.00783,7697.75,0,-601.73,,,50,,,,,13.81,,,,,5.15,,,,,162.45,,,,,65,,,,,47.93,,,28.26718,8295.45,8306.82,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 15:30:26",29.52865,8336.348650,362.74646,362.74646,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:35:00",0,"2019/05/16 16:20:00",NSW1,85.93302,85.93302,0,5.89,5.89,3,3,0.99,0.99,19.74027,19.74027,0.01,0.01,0.04,0.04,0.19,0.19,12.5,12.5,8363.14,11316.72346,0,63.66135,7736.72,0,-626.41,,,50,,,,,10,,,,,3.01,,,,,164.98,,,,,65,,,,,58,,,28.26718,8306.82,8373.76,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 15:30:26",29.52865,8403.288650,355.72346,355.72346,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:35:00",0,"2019/05/16 16:25:00",NSW1,90.02633,90.02633,0,5.89,5.89,5,5,0.99,0.99,23.73,23.73,0,0,0.03,0.03,0.19,0.19,9,9,8403.37,11309.25446,0,40.23508,7774.25,0,-629.12,,,50,,,,,10,,,,,0,,,,,177.54,,,,,67.02,,,,,58,,,28.26718,8373.76,8415.03,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 15:30:26",29.52865,8444.558650,348.25446,348.25446,0
