C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2019/05/22,04:00:08,0000000308171094,DISPATCHSCADA,0000000308171088
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HALLWF2,2.70
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HAMISF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HAYMSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HDWF1,-0.30
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HDWF2,-0.60
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HDWF3,-0.60
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HPRG1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HPRL1,0.10
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HUMENSW,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HUMEV,1
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HVGTS,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",JBUTTERS,137.67
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",JLA01,0.10
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",JLA02,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",JLA03,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",JLA04,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",JLB01,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",JLB02,0.20
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",JLB03,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",KAREEYA1,21.5850
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",KAREEYA2,21.8725
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",KAREEYA3,21.74
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",KAREEYA4,21.5775
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",KARSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",KIATAWF1,-0.30
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",KPP_1,765.424990
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",KSP1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LADBROK1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",LADBROK2,0
