D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:45:00",NSW1,79.20218,79.20218,0,1,1,0.62444,0.62444,1,1,14.73,14.73,0.01,0.01,0.05,0.05,0.2,0.2,9.79486,9.79486,8204.7,11031.369,0,-31.20831,7615.37,0,-589.33,,,31,,,,,21,,,,,9.74,,,,,186.39,,,,,12,,,,,31.64,,,3.37129,8253.77,8224.42,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",0.44353,8224.863530,525.369,525.369,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:50:00",NSW1,79.18306,79.18306,0,1,1,0.59,0.59,1,1,14.67109,14.67109,0.03,0.03,0.05,0.05,0.2,0.2,9.72864,9.72864,8151,11032.2,0,-53.69285,7616.2,0,-534.8,,,31,,,,,21,,,,,11,,,,,190,,,,,12,,,,,31.38,,,3.37129,8224.42,8171.62,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",0.44353,8172.063530,526.2,526.2,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:55:00",NSW1,78.70894,78.70894,0,1,1,0.58007,0.58007,1,1,14.6541,14.6541,0.03,0.03,0.05,0.05,0.2,0.2,9.70955,9.70955,8112.12,11032.936,0,-38.88794,7616.94,0,-495.18,,,31,,,,,21,,,,,11,,,,,191.57,,,,,12,,,,,39,,,3.37129,8171.62,8133.42,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",0.44353,8133.863530,526.936,526.936,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:00:00",QLD1,67.64814,67.64814,0,1,1,0.99,0.99,1,1,14.08732,14.08732,0,0,0.11,0.11,0.44,0.44,11.53632,11.53632,6315.74,10025.209,0,-58.52393,7136.16,0,820.42,,,0,,,,,0,,,,,0,,,,,124,,,,,57,,,,,64,,,0,6387.0542,6329.29,,0,0,,,,0,30,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",84.59675,6413.886750,106.209,106.209,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:05:00",QLD1,83.56525,83.56525,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0,0,0.04,0.04,0.19,0.19,8.73,8.73,6356.84,10182.352,0,41.10058,7172.05,0,815.21,,,0,,,,,0,,,,,0,,,,,124,,,,,97,,,,,64,,,0,6329.29,6370.07,,0,27,,,,0,45,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",84.59675,6454.666750,107.352,107.352,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:10:00",QLD1,84.53844,84.53844,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0,0,0.04,0.04,0.19,0.19,8.73,8.73,6337.14,10183.312,0,-19.69772,7118.01,0,780.87,,,0,,,,,0,,,,,0,,,,,124,,,,,97,,,,,64,,,0,6370.07,6349.28,,0,27,,,,0,45,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",84.59675,6433.876750,108.312,108.312,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:15:00",QLD1,85.13142,85.13142,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0.01,0.01,0.04,0.04,0.19,0.19,8.73,8.73,6323.67,10184.138,0,-13.47615,7066.64,0,742.97,,,0,,,,,0,,,,,0,,,,,124,,,,,97,,,,,64,,,0,6349.28,6334.49,,0,27,,,,0,45,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",84.59675,6419.086750,109.138,109.138,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:20:00",QLD1,85.20587,85.20587,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0.01,0.01,0.04,0.04,0.19,0.19,8.73,8.73,6312.37,10184.855,0,-11.29585,7037.36,0,724.98,,,0,,,,,0,,,,,0,,,,,124,,,,,97,,,,,64,,,0,6334.49,6322.57,,0,27,,,,0,45,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",84.59675,6407.166750,109.855,109.855,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:25:00",QLD1,82.73006,82.73006,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0.01,0.01,0.04,0.04,0.19,0.19,8.73,8.73,6282.48,10185.479,0,-29.8919,6976.31,0,693.83,,,0,,,,,0,,,,,0,,,,,124,,,,,97,,,,,64,,,0,6322.57,6291.71,,0,27,,,,0,45,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",84.59675,6376.306750,110.479,110.479,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:30:00",QLD1,76.75481,76.75481,0,1,1,0.5,0.5,1,1,14.51711,14.51711,0.01,0.01,0.04,0.04,0.19,0.19,9.55556,9.55556,6266.5,10186.027,0,-15.97563,6938.53,0,672.02,,,0,,,,,0,,,,,0,,,,,124,,,,,97,,,,,64,,,0,6291.71,6275.04,,0,20,,,,0,45,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",84.59675,6359.636750,111.027,111.027,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:35:00",QLD1,82.72983,82.72983,0,1.25,1.25,0.62444,0.62444,0.99,0.99,14.73,14.73,0.01,0.01,0.05,0.05,0.2,0.2,8.73028,8.73028,6261.38,10188.586,0,-5.12004,6923.71,0,662.32,,,0,,,,,0,,,,,0,,,,,124,,,,,87,,,,,65.33,,,0,6275.04,6269.6,,0,27,,,,0,43.84,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",84.59675,6354.196750,111.586,111.586,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:40:00",QLD1,78.60081,78.60081,0,1.25,1.25,0.62444,0.62444,0.99,0.99,14.73,14.73,0.01,0.01,0.05,0.05,0.2,0.2,9,9,6244.69,10189.182,0,-16.68993,6904.68,0,659.99,,,0,,,,,0,,,,,0,,,,,122,,,,,87,,,,,66.78,,,0,6269.6,6252.87,,0,25,,,,0,44.68,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",84.59675,6337.466750,112.182,112.182,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:45:00",QLD1,71.77436,71.77436,0,1,1,0.62444,0.62444,1,1,14.73,14.73,0.01,0.01,0.05,0.05,0.2,0.2,9.79486,9.79486,6228.53,10189.749,0,-16.16554,6897.04,0,668.51,,,0,,,,,0,,,,,0,,,,,124,,,,,90.21,,,,,57.21,,,0,6252.87,6236.96,,0,25,,,,0,48.76,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",84.59675,6321.556750,112.749,112.749,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:50:00",QLD1,71.73993,71.73993,0,1,1,0.59,0.59,1,1,14.67109,14.67109,0.03,0.03,0.05,0.05,0.2,0.2,9.72864,9.72864,6184.26,10190.291,0,-44.26742,6838.73,0,654.47,,,0,,,,,0,,,,,0,,,,,124,,,,,92.59,,,,,59.59,,,0,6236.96,6192.31,,0,25,,,,0,45,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",84.59675,6276.906750,113.291,113.291,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:55:00",QLD1,71.73,71.73,0,1,1,0.58007,0.58007,1,1,14.6541,14.6541,0.03,0.03,0.05,0.05,0.2,0.2,9.70955,9.70955,6163.13,10190.811,0,-21.13488,6807.84,0,644.72,,,0,,,,,0,,,,,0,,,,,124,,,,,88.16,,,,,55.16,,,0,6192.31,6170.84,,0,25,,,,0,45,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",84.59675,6255.436750,113.811,113.811,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:00:00",SA1,77.54,77.54,0,1,1,0.99,0.99,1,1,14.08732,14.08732,0,0,0.11,0.11,0.44,0.44,11.53632,11.53632,1532.49,3209.997,80,-22.11227,1683.49,0,151,,,40,,,,,52.38,,,,,27.22,,,,,69,,,,,111.85,,,,,115.22,,,0,1556.42773,1533.61,,0,88,,,,0,73,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",58.74545,1592.355450,534.997,534.997,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:05:00",SA1,93.29709,93.29709,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0,0,0.04,0.04,0.19,0.19,8.73,8.73,1527.44,3178.573,81,-5.04612,1718.57,0,191.13,,,40,,,,,64.54,,,,,0,,,,,84,,,,,100.87,,,,,122.79,,,0,1533.61,1529.17,,0,70,,,,0,105,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",58.74545,1587.915450,541.573,541.573,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:10:00",SA1,92.79819,92.79819,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0,0,0.04,0.04,0.19,0.19,8.73,8.73,1507.3,3185.427,81,-20.14822,1710.43,0,203.13,,,40,,,,,64.54,,,,,0.88,,,,,84,,,,,100.88,,,,,128,,,0,1529.17,1509.19,,0,70,,,,0,105,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",58.74545,1567.935450,548.427,548.427,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:15:00",SA1,92.76921,92.76921,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0.01,0.01,0.04,0.04,0.19,0.19,8.73,8.73,1498.44,3192.438,81,-8.85933,1705.44,0,207,,,40,,,,,64.54,,,,,1,,,,,84,,,,,101.87,,,,,122,,,0,1509.19,1500.4,,0,70,,,,0,105,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",58.74545,1559.145450,555.438,555.438,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:20:00",SA1,92.08667,92.08667,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0.01,0.01,0.04,0.04,0.19,0.19,8.73,8.73,1481.39,3199.583,81,-17.04227,1712.58,0,231.19,,,40,,,,,64.54,,,,,1,,,,,84,,,,,103.22,,,,,128,,,0,1500.4,1483.82,,0,70,,,,0,105,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",58.74545,1542.565450,562.583,562.583,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:25:00",SA1,89.08556,89.08556,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0.01,0.01,0.04,0.04,0.19,0.19,8.73,8.73,1474.76,3206.839,81,-6.63667,1719.84,0,245.08,,,40,,,,,64.54,,,,,1,,,,,84,,,,,105.96,,,,,122.48,,,0,1483.82,1477.47,,0,70,,,,0,105,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",58.74545,1536.215450,569.839,569.839,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:30:00",SA1,81.91729,81.91729,0,1,1,0.5,0.5,1,1,14.51711,14.51711,0.01,0.01,0.04,0.04,0.19,0.19,9.55556,9.55556,1471.47,3214.187,81,-3.28306,1699.25,0,227.78,,,40,,,,,64.54,,,,,1,,,,,73,,,,,120.25,,,,,124.18,,,0,1477.47,1473.82,,0,77,,,,0,92.07,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",58.74545,1532.565450,577.187,577.187,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:35:00",SA1,88.91768,88.91768,0,1.25,1.25,0.62444,0.62444,0.99,0.99,14.73,14.73,0.01,0.01,0.05,0.05,0.2,0.2,8.73028,8.73028,1469.06,3101.415,82,-2.41523,1690.42,0,221.36,,,41,,,,,59.54,,,,,1,,,,,84,,,,,128,,,,,123,,,0,1473.82,1471.28,,0,70,,,,0,95,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",58.74545,1530.025450,585.415,585.415,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:40:00",SA1,84.99993,84.99993,0,1.25,1.25,0.62444,0.62444,0.99,0.99,14.73,14.73,0.01,0.01,0.05,0.05,0.2,0.2,9,9,1461.35,3109.998,82,-7.70734,1671.12,0,209.77,,,41,,,,,59.54,,,,,1,,,,,84,,,,,128,,,,,123,,,0,1471.28,1463.37,,0,72,,,,0,95,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",58.74545,1522.115450,593.998,593.998,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:45:00",SA1,77.74761,77.74761,0,1,1,0.62444,0.62444,1,1,14.73,14.73,0.01,0.01,0.05,0.05,0.2,0.2,9.79486,9.79486,1435.99,3118.563,82,-25.36092,1647.56,0,211.57,,,41,,,,,59.54,,,,,1,,,,,73,,,,,123.38,,,,,121.89,,,0,1463.37,1438.02,,0,72,,,,0,85,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",58.74545,1496.765450,602.563,602.563,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:50:00",SA1,77.57381,77.57381,0,1,1,0.59,0.59,1,1,14.67109,14.67109,0.03,0.03,0.05,0.05,0.2,0.2,9.72864,9.72864,1426.59,3127.11,82,-9.39785,1656.11,0,229.52,,,41,,,,,59.54,,,,,1,,,,,69,,,,,123.38,,,,,121.89,,,0,1438.02,1428.98,,0,72,,,,0,85,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",58.74545,1487.725450,611.11,611.11,0
