C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,04:00:38,0000000307938051,P5MIN,0000000307938048
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",STWF1,"2019/05/16 04:45:00",21.85,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",STWF1,"2019/05/16 04:50:00",22.24,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",STWF1,"2019/05/16 04:55:00",21.62,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",STWF1,"2019/05/16 05:00:00",15.77,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TARRALEA,"2019/05/16 04:05:00",14.72,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TARRALEA,"2019/05/16 04:10:00",17.16,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TARRALEA,"2019/05/16 04:15:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TARRALEA,"2019/05/16 04:20:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TARRALEA,"2019/05/16 04:25:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TARRALEA,"2019/05/16 04:30:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TARRALEA,"2019/05/16 04:35:00",39.48,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TARRALEA,"2019/05/16 04:40:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TARRALEA,"2019/05/16 04:45:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TARRALEA,"2019/05/16 04:50:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TARRALEA,"2019/05/16 04:55:00",17.72,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TARRALEA,"2019/05/16 05:00:00",14.18,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TUNGATIN,"2019/05/16 04:05:00",14.72,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TUNGATIN,"2019/05/16 04:10:00",17.16,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TUNGATIN,"2019/05/16 04:15:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TUNGATIN,"2019/05/16 04:20:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TUNGATIN,"2019/05/16 04:25:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TUNGATIN,"2019/05/16 04:30:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TUNGATIN,"2019/05/16 04:35:00",39.48,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TUNGATIN,"2019/05/16 04:40:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TUNGATIN,"2019/05/16 04:45:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TUNGATIN,"2019/05/16 04:50:00",17.78,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TUNGATIN,"2019/05/16 04:55:00",17.72,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",TUNGATIN,"2019/05/16 05:00:00",14.18,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",UPPTUMUT,"2019/05/16 04:15:00",4.7,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",UPPTUMUT,"2019/05/16 04:20:00",9.16,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",UPPTUMUT,"2019/05/16 04:25:00",9.15,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",UPPTUMUT,"2019/05/16 04:30:00",9.15,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",UPPTUMUT,"2019/05/16 04:40:00",9.36,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",UPPTUMUT,"2019/05/16 04:45:00",9.41,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",UPPTUMUT,"2019/05/16 04:50:00",9.57,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",UPPTUMUT,"2019/05/16 04:55:00",9.31,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",UPPTUMUT,"2019/05/16 05:00:00",6.79,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ11,"2019/05/16 04:15:00",7.4,2,"2019/05/16 04:00:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 04:05:00",URANQ11,"2019/05/16 04:20:00",14.43,2,"2019/05/16 04:00:26"
