DUID,Region,Fuel Source,Our Value,AEMO Value,Our Value minus AEMO Value
CSPVPS1,QLD1,Solar,0.0,0.0,0.0
MACKAYGT,QLD1,Fossil,0.0,0.0,0.0
ROMA_7,QLD1,Fossil,0.0,0.0,0.0
DRYCGT2,SA1,Fossil,0.0,0.0,0.0
DRYCGT1,SA1,Fossil,0.0,0.0,0.0
SNOWSTH1,SA1,Wind,46.912,46.912,0.0
TBSF1,SA1,Solar,0.0,0.0,0.0
SNUG1,SA1,Fossil,0.0,0.0,0.0
TORRA3,SA1,Fossil,15.060949999999998,40.0,-24.93905
DRYCGT3,SA1,Fossil,0.0,0.0,0.0
BLUFF1,SA1,Wind,43.468,43.468,0.0
POR03,SA1,Fossil,0.0,0.0,0.0
QPS4,SA1,Fossil,0.0,0.0,0.0
LKBONNY2,SA1,Wind,116.924,116.924,0.0
HPRG1,SA1,Battery storage,0.0,0.0,0.0
QPS3,SA1,Fossil,0.0,0.0,0.0
TORRA4,SA1,Fossil,6.0,6.0,0.0
HDWF2,SA1,Wind,84.872,84.872,0.0
LONSDALE,SA1,Fossil,0.0,0.0,0.0
ANGAST1,SA1,Fossil,0.0,0.0,0.0
HDWF1,SA1,Wind,87.124,87.124,0.0
TORRB2,SA1,Fossil,25.0,0.0,25.0
LKBONNY3,SA1,Wind,30.963,30.963,0.0
PPCCGT,SA1,Fossil,136.90773,179.0,-42.09227000000001
DALNTH01,SA1,Battery storage,0.0,0.0,0.0
PTSTAN1,SA1,Fossil,0.0,0.0,0.0
AGLHAL,SA1,Fossil,0.0,0.0,0.0
TORRA1,SA1,Fossil,25.0,0.0,25.0
BNGSF2,SA1,Solar,0.0,0.0,0.0
HALLWF1,SA1,Wind,76.685,76.685,0.0
POR01,SA1,Fossil,0.0,0.0,0.0
QPS5,SA1,Fossil,0.0,0.0,0.0
LGAPWF1,SA1,Wind,1.233,1.233,0.0
TORRA2,SA1,Fossil,25.0,0.0,25.0
HALLWF2,SA1,Wind,59.38,59.38,0.0
SNOWTWN1,SA1,Wind,17.706,17.706,0.0
WATERLWF,SA1,Wind,52.583,52.583,0.0
SNOWNTH1,SA1,Wind,18.178,18.178,0.0
MINTARO,SA1,Fossil,0.0,0.0,0.0
TORRB1,SA1,Fossil,25.0,0.0,25.0
QPS2,SA1,Fossil,0.0,0.0,0.0
TORRB4,SA1,Fossil,40.0,40.0,0.0
OSB-AG,SA1,Fossil,140.0,140.0,0.0
QPS1,SA1,Fossil,0.0,0.0,0.0
LADBROK2,SA1,Fossil,0.0,0.0,0.0
CLEMGPWF,SA1,Wind,6.237,6.237,0.0
LADBROK1,SA1,Fossil,0.0,0.0,0.0
BNGSF1,SA1,Solar,0.0,0.0,0.0
NBHWF1,SA1,Wind,118.289,118.289,0.0
TORRB3,SA1,Fossil,25.0,0.0,25.0
WGWF1,SA1,Wind,106.558,106.558,0.0
HDWF3,SA1,Wind,75.791,75.791,0.0
BBTHREE2,TAS1,Fossil,0.0,0.0,0.0
LI_WY_CA,TAS1,Hydro,116.0,115.0,1.0
MUSSELR1,TAS1,Wind,14.464,14.464,0.0
POAT110,TAS1,Hydro,0.0,0.0,0.0
REECE1,TAS1,Hydro,52.0,52.0,0.0
BASTYAN,TAS1,Hydro,0.0,0.0,0.0
BBTHREE3,TAS1,Fossil,0.0,0.0,0.0
TUNGATIN,TAS1,Hydro,1.0,1.00003,-2.999999999997449e-05
TVCC201,TAS1,Fossil,0.0,0.0,0.0
TREVALLN,TAS1,Hydro,44.0,44.0,0.0
POAT220,TAS1,Hydro,0.0,0.0,0.0
TVPP104,TAS1,Fossil,0.0,0.0,0.0
MEADOWBK,TAS1,Hydro,34.0,34.0,0.0
GORDON,TAS1,Hydro,20.0,20.0,0.0
JBUTTERS,TAS1,Hydro,0.0,0.0,0.0
REECE2,TAS1,Hydro,62.0,62.0,0.0
