C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2019/04/29,16:25:08,0000000307295427,DISPATCHSCADA,0000000307295421
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",ER04,694.174930
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",FISHER,44.84
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GANNBG1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GANNBL1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GANNSF1,26.90
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GORDON,303.905460
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GSTONE1,160.1250
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GSTONE2,225.05
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GSTONE3,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GSTONE4,160.474990
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GSTONE5,32.0250
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GSTONE6,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GULLRSF1,1.1366
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GULLRWF1,7.915280
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GUNNING1,2.182380
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",GUTHEGA,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HALLWF1,11.27
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HALLWF2,4.78
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HAMISF1,31.40
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HAYMSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HDWF1,21.50
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HDWF2,19.70
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HDWF3,23.30
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HPRG1,25.40
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HPRL1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HUMENSW,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HUMEV,7.60
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",HVGTS,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",JBUTTERS,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",JLA01,0.10
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",JLA02,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",JLA03,0.10
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",JLA04,0.10
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",JLB01,0.30
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",JLB02,0.20
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",JLB03,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",KAREEYA1,21.64
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",KAREEYA2,21.7625
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",KAREEYA3,21.5275
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",KAREEYA4,21.6150
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",KARSF1,53.10
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",KIATAWF1,0.60
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",KPP_1,741.50
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",KSP1,14.28
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LADBROK1,8.84
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LADBROK2,9.57
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LD01,351
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LD02,350.550020
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LD03,380.718750
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LD04,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LEM_WIL,47.90
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LGAPWF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LILYSF1,42.991610
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LI_WY_CA,95.082210
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LKBONNY2,1.841960
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LKBONNY3,1.116440
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LK_ECHO,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LNGS1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LNGS2,162.421340
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LONSDALE,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LOYYB1,537.592410
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LOYYB2,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LYA1,560
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LYA2,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LYA3,559
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",LYA4,540
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MACARTH1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MACKAYGT,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MACKNTSH,71.59
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MANSLR1,17.9040
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MCKAY1,0.0750
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MEADOWBK,24.921760
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MERCER01,-0.2360
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MEWF1,44.220410
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MINTARO,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MOREESF1,24.4780
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",MORTLK11,274
