Datetime,Generator RAISE5MIN,Load RAISE5MIN,Price RAISE5MIN,Generator LOWER5MIN,Load LOWER5MIN,Price LOWER5MIN,Generator RAISE6SEC,Load RAISE6SEC,Price RAISE6SEC,Generator LOWER6SEC,Load LOWER6SEC,Price LOWER6SEC,Generator RAISE60SEC,Load RAISE60SEC,Price RAISE60SEC,Generator LOWER60SEC,Load LOWER60SEC,Price LOWER60SEC,Generator (MW),Load (MW),E (MWh),SOC (%),Price ($/MWh)
2021-09-14 02:30:00,183.62606000000005,0.0,0.03,0.0,73.92887999999999,0.19,230.38948000000005,0.0,0.6,0.0,99.41637089540285,0.03,184.6394800000001,0.0,1.0,0.0,133.0,1.0,0.0,0.0,1104.6702266440507,36.822340888135024,45.29203905893313
2021-09-14 02:35:00,187.53692999999998,0.0,0.03,0.0,123.05795,0.19,231.60149,0.0,0.6,0.0,89.71483439552696,0.03,188.85149000000007,0.0,1.0,0.0,129.63451439552694,0.38,0.0,0.0,1104.6702266440507,36.822340888135024,46.89308165850061
2021-09-14 02:40:00,183.64212999999995,0.0,0.03,0.0,121.33411000000001,0.19,228.55104666666665,0.0,0.6,0.0,106.71585999999996,0.03,187.80104666666665,0.0,1.0,0.0,143.0,1.0,0.0,0.0,1104.6702266440507,36.822340888135024,46.45661282893759
2021-09-14 02:45:00,191.01554,0.0,0.03,0.0,120.71050000000002,0.19,237.43607999999995,0.0,0.6,0.0,90.16566752215189,0.03,221.68608,0.0,1.0,0.0,129.87201752215188,0.38,0.0,0.0,1104.6702266440507,36.822340888135024,46.068793757780874
2021-09-14 02:50:00,0.0,0.0,0.75,0.0,110.56004000000001,0.19,0.0,0.0,14.98,0.0,100.73679882917975,0.03,0.0,0.0,8.68,0.0,133.0,1.0,0.0,0.0,1104.6702266440507,36.822340888135024,45.01111887111888
2021-09-14 02:55:00,0.0,0.0,0.75,0.0,121.18790999999999,0.19,0.0,0.0,8.68,0.0,103.29180000000002,0.03,0.0,0.0,8.68,0.0,143.0,0.39749384115099895,0.0,0.0,1104.6702266440507,36.822340888135024,45.30145532367752
2021-09-14 03:00:00,0.0,0.0,0.75,0.0,120.42259000000001,0.19,0.0,0.0,7.73,0.0,108.5367449455303,0.03,0.0,0.0,7.73,0.0,133.0,1.0,0.0,0.0,1104.6702266440507,36.822340888135024,44.258300328392735
2021-09-14 03:05:00,199.95912999999996,0.0,0.03,0.0,122.35181,0.19,248.3629926042134,0.0,0.6,0.0,96.87410494553035,0.03,181.83179913460873,0.0,1.0,0.0,133.0,1.0,0.0,0.0,1104.6702266440507,36.822340888135024,45.30145532367752
2021-09-14 03:10:00,183.71005000000002,0.0,0.03,0.0,123.09124000000003,0.19,201.65588927087998,0.0,0.6,0.0,103.33981494553035,0.03,166.00549748903904,0.0,1.0,0.0,133.0,0.5,0.0,0.0,1104.6702266440507,36.822340888135024,55.802393994725094
2021-09-14 03:15:00,185.39346,0.0,0.03,0.0,123.23039999999997,0.19,220.15562809523806,0.0,0.6,0.0,103.14156120620683,0.03,170.96545329113923,0.0,1.0,0.0,125.5,1.0,0.0,0.0,1104.6702266440507,36.822340888135024,45.29203905893313
2021-09-14 03:20:00,0.0,0.0,0.75,0.0,122.85692,0.19,0.0,0.0,15.03888347927336,0.0,96.39372689606955,0.03,0.0,0.0,8.68,0.0,33.17665689606952,1.754285714285714,0.0,0.0,1104.6702266440507,36.822340888135024,44.25830034172607
2021-09-14 03:25:00,185.01477999999997,0.0,0.03,0.0,122.17849000000001,0.19,208.4595583001868,0.0,0.6,0.0,100.14380869565224,0.03,170.34122112823331,0.0,1.0,0.0,125.07038869565224,0.38,0.0,0.0,1104.6702266440507,36.822340888135024,46.95080499781744
2021-09-14 03:30:00,0.0,0.0,0.75,0.0,122.88283999999999,0.19,0.0,0.0,14.98,0.0,92.98412869565226,0.03,0.0,0.0,8.68,0.0,32.012568695652305,1.754285714285714,0.0,0.0,1104.6702266440507,36.822340888135024,44.25830034172607
2021-09-14 03:35:00,191.20163000000002,0.0,0.03,0.0,123.0,0.2,226.85660406422244,0.0,0.6,0.0,95.26415318357523,0.03,183.37404722927926,0.0,1.0,0.0,121.98877318357518,0.38,0.0,0.0,1104.6702266440507,36.822340888135024,46.960896391536274
2021-09-14 03:40:00,0.0,0.0,0.75,0.0,123.84915000000001,0.19,0.0,0.0,11.95844063680633,0.0,101.41618062779008,0.03,0.0,0.0,8.68,0.0,41.21148147061166,1.754285714285714,0.0,0.0,1104.6702266440507,36.822340888135024,42.89910857995138
2021-09-14 03:45:00,0.0,0.0,0.75,0.0,123.0,0.2,0.0,0.0,12.64335130983536,0.0,116.99751292669688,0.03,0.0,0.0,8.68,0.0,123.0,1.03,0.0,0.0,1104.6702266440507,36.822340888135024,45.29203909529676
2021-09-14 03:50:00,207.61197000000004,0.0,0.03,0.0,123.0,0.2,211.56765333333334,0.0,0.6,0.0,93.71035728056367,0.03,178.9431807594937,0.0,1.0,0.0,123.0,1.0,0.0,0.0,1104.6702266440507,36.822340888135024,55.85338612057163
2021-09-14 03:55:00,193.84708,0.0,0.03,0.0,102.23279000000002,0.19,230.73623999999995,0.0,0.6,0.0,100.80831999999998,0.03,187.24256911392405,0.0,1.0,0.0,110.70580000000001,0.38,0.0,0.0,1104.6702266440507,36.822340888135024,45.292039060448275
2021-09-14 04:00:00,192.76871000000006,0.0,0.03,0.0,101.96298000000002,0.19,239.87827666666664,0.0,0.6,0.0,94.65324999999996,0.03,248.2654074683544,0.0,1.0,0.0,100.30302999999998,0.38,0.0,0.0,1104.6702266440507,36.822340888135024,45.292039060448275
2021-09-14 04:05:00,148.32523000000003,0.0,0.26,0.0,82.26668999999998,0.18,200.81012999999996,0.0,0.98,0.0,61.83086535530077,0.03,276.81012999999996,0.0,0.61,0.0,52.02590535530078,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,60.57094403915739
2021-09-14 04:10:00,199.20128,0.0,0.26,0.0,89.17178999999999,0.18,192.46474999999998,0.0,0.98,0.0,64.92180000000002,0.03,275.46475,0.0,0.61,0.0,47.95241000000004,0.17,0.0,0.0,1104.6702266440507,36.822340888135024,60.49233252623083
